log_id,timestamp,player_id,player_name,monster_id,monster_name,damage_dealt,damage_taken,result,level,zone_id
101,2026-03-27 08:55:05,1001,DragonSlayer,503,Troll,355,185,WIN,25,Z02
102,2026-03-27 08:57:40,1005,BerserkerKing,504,BossWolf,590,295,WIN,35,Z02
103,2026-03-27 09:00:15,1003,ShadowRogue,505,DarkElf,400,95,WIN,28,Z03
104,2026-03-27 09:03:00,1002,IceWizard,501,Goblin,175,10,WIN,22,Z01
105,2026-03-27 09:05:45,1006,ArrowMaster,502,Orc,260,80,WIN,20,Z01
106,2026-03-27 09:08:20,1004,HolyPaladin,507,SkeletonLord,125,155,LOSE,15,Z03
107,2026-03-27 09:11:00,1001,DragonSlayer,506,Vampire,370,215,WIN,25,Z03
108,2026-03-27 09:13:35,1005,BerserkerKing,503,Troll,615,165,WIN,35,Z02
109,2026-03-27 09:16:10,1003,ShadowRogue,504,BossWolf,440,285,WIN,28,Z02
110,2026-03-27 09:18:50,1002,IceWizard,508,StoneGolem,210,195,WIN,22,Z02
111,2026-03-27 09:21:25,1006,ArrowMaster,506,Vampire,305,175,WIN,20,Z03
112,2026-03-27 09:24:00,1004,HolyPaladin,501,Goblin,110,8,WIN,15,Z01
113,2026-03-27 09:26:40,1001,DragonSlayer,508,StoneGolem,395,255,WIN,25,Z02
114,2026-03-27 09:29:15,1005,BerserkerKing,505,DarkElf,555,100,WIN,35,Z03
115,2026-03-27 09:31:50,1003,ShadowRogue,507,SkeletonLord,415,170,WIN,28,Z03
116,2026-03-27 09:34:25,1002,IceWizard,503,Troll,185,200,LOSE,22,Z02
117,2026-03-27 09:37:05,1006,ArrowMaster,504,BossWolf,300,305,LOSE,20,Z02
118,2026-03-27 09:39:40,1004,HolyPaladin,502,Orc,120,88,WIN,15,Z01
119,2026-03-27 09:42:15,1001,DragonSlayer,501,Goblin,305,35,WIN,25,Z01
120,2026-03-27 09:44:50,1005,BerserkerKing,507,SkeletonLord,580,140,WIN,35,Z03
